,Start Date,End Date,a,b,Spread Return,Position,Correlation,Hurst Exponent,ADF t-statistic,ADF p-value,mu,theta,sigma2
29,2015-12-07,2017-07-03,79,63,0.18418263251504435,1,0.796350691701633,0.32896868719538436,-4.134295129647576,0.0008495463643073776,0.31863725284733796,29.99003711464693,0.019726633178930773
30,2017-07-11,2017-08-18,172,289,0.23984170581696648,-1,0.771250833465965,0.31328583308070673,-3.780725645306992,0.0031107888370469875,0.21724694974852463,15.898934378907391,0.01624950340103442
31,2017-08-24,2017-09-12,329,351,0.29105103077598965,1,0.817704585547814,0.31643298454699487,-3.822737155660965,0.002683065665280192,0.25918999857048886,33.229928168273325,0.037312341361374735
32,2017-10-23,2017-11-10,398,397,1.0356213957268887,-1,0.93596467495367,0.15017472103548327,-5.518253484156395,1.9032889460360931e-06,0.0066359052965585235,165.17778250561446,0.0069153746780960075
33,2017-12-06,2018-04-17,140,52,0.12206364744956519,-1,0.7825909703600633,0.27490824145078124,-3.5105085063909915,0.007721279333454082,0.34991912880178233,21.940189817071538,0.015268763221394425
34,2018-05-02,2018-08-20,61,52,0.31544623270696964,1,0.816050817359039,0.32191916851889024,-3.7968074534016276,0.0029401483389236366,0.22946123968204793,22.413996077066397,0.020321883103075714
35,2018-10-09,2018-10-29,431,376,0.1426634288272714,-1,0.8370015719237552,0.24950056139228907,-3.6906410938179586,0.004246738029106064,0.20061777362111996,23.69809089790512,0.0077762883312212676
36,2018-10-30,2018-12-19,143,158,0.2437148722080494,-1,0.7563975379449973,0.3328471940484791,-3.569287069873644,0.006376079951630279,0.23480369609717766,22.46685901711405,0.012487060512701901
37,2015-04-07,2015-04-27,33,329,0.10827333549271942,1,0.7624041225531306,0.3509203333202278,-3.6388933169873092,0.005059553990403012,0.4314554408610698,20.437617887966063,0.011724696738747068
38,2015-05-06,2016-01-26,444,319,0.18049757132506578,1,0.746900488516999,0.3246227207059678,-3.764291081510388,0.0032945381607322227,0.25991865687012783,24.574334722362515,0.014735749300577023
39,2016-01-27,2016-02-26,329,79,0.391348746815523,1,0.7425327914760292,0.23741737114199102,-3.5903295405462208,0.005948620355563227,0.26101202635207327,32.048599380879814,0.032331492738655855
40,2016-03-01,2016-03-14,103,258,0.14206822407182448,1,0.8132334235901838,0.31802775555645696,-3.480694623319417,0.008496962112434179,0.2584802645553519,27.80841366706757,0.010091869278677553
41,2016-03-17,2016-04-14,376,180,0.18524056481861625,-1,0.7441015363328158,0.20747216795583995,-5.011289701432818,2.107924856182089e-05,0.26898053291877955,55.524433380191184,0.02618733542593762
42,2016-04-19,2016-07-14,361,208,0.21803447205910967,-1,0.8470293739912897,0.24719357694101138,-4.435319711275232,0.00025690398996963036,0.19038559248732673,43.56600699025725,0.020287175835788283
43,2016-07-29,2016-11-03,194,349,0.13757131159449507,1,0.706270329174469,0.2610724180511789,-6.049845212990953,1.2854057511893458e-07,0.3631456171102498,38.5712700358497,0.021195528979978874
44,2016-11-04,2018-12-28,159,24,,1,0.7601242620350848,0.3472650568936382,-4.365118266896426,0.00034199040538862276,0.4027379662953631,25.783835398984632,0.018564806131159243
45,2015-06-10,2015-07-10,323,225,0.13991871040567358,1,0.7286319106554849,0.39901455606045744,-3.928998853979411,0.001831499274349596,0.3936848246473323,20.472197008930202,0.017879002959248897
46,2015-07-17,2015-09-23,70,372,0.0772439432315979,-1,0.7095775416447054,0.2871478828714951,-3.7241135258599836,0.003786480625501016,0.4833987802373056,31.074532621719545,0.015870214937543762
47,2015-09-28,2018-12-28,199,276,-1.9110532768566855,1,0.7547379457893116,0.4074443053176337,-3.657565896533505,0.004751202466286286,0.3048907179577543,18.040179213243196,0.015993848177379668
48,2015-06-10,2018-12-28,349,170,-0.7725835836842057,-1,0.7515141147207911,0.260253024976395,-3.923021921306397,0.00187180182517057,0.29447625250324516,33.80496297112304,0.009139755607197306
49,2015-07-10,2015-07-17,160,79,0.1419745063290661,-1,0.7357792873810802,0.35737012379949973,-3.626549369543772,0.005273281703529099,0.31868105259635715,23.949205683256967,0.013321539485131841
50,2015-08-25,2015-10-08,160,61,0.15890385997599601,1,0.7214200304607554,0.27893149895594777,-3.9790982449661834,0.0015240016274927603,0.3103868566500835,34.35321402476687,0.01818487847896793
51,2015-10-09,2016-01-21,454,174,0.1665873269262909,-1,0.7832048382469255,0.24760865972845914,-3.54132960838431,0.006986979324907636,0.29309996933260635,28.08281025207621,0.018560944985638785
52,2016-01-22,2016-02-08,33,160,0.16373591859319753,-1,0.8826234561582205,0.29418838696505983,-3.7627314287140528,0.003312484179112963,0.19322726148470645,32.09853002567534,0.010314939814494896
53,2016-02-09,2018-12-28,295,33,-0.8786074295752652,-1,0.7026834234708609,0.33859649587421775,-4.353923036648206,0.0003578123668286536,0.444248233018837,19.12384278380561,0.015289321930144928
54,2015-09-30,2016-01-07,90,80,0.12683016224669305,-1,0.7056129140620115,0.37588958839975956,-3.8486128384979805,0.0024473196039926292,0.4471477832172373,22.074172105252632,0.025344318811032912
55,2016-01-08,2016-08-18,181,184,0.20575352977067307,-1,0.8230301103354364,0.3675326806988516,-3.4295732926153017,0.00999109600400017,0.16787906216932133,23.608395324654623,0.01115058941388114
56,2016-08-19,2016-10-04,184,413,0.15137029646834144,-1,0.7241231952755816,0.31173631240088134,-3.712405163045018,0.0039420096128057955,0.36545738617218865,24.632514956317458,0.018710219216351704
57,2016-10-11,2016-11-04,332,452,0.21912328769091308,1,0.8309174360795569,0.2593806790770911,-3.8865662877163403,0.0021359665726341506,0.20456189240201042,34.27114480912397,0.012377495543012079
58,2016-11-09,2017-11-09,290,203,0.22235476102891183,-1,0.7334469369108997,0.48517940151663025,-3.455938253687304,0.009193479558348608,0.407554072236602,9.452249472792028,0.024236048727975565
59,2018-01-19,2018-04-04,347,297,0.1658129460337258,1,0.8431442966296259,0.37646632016109915,-3.6600498611704775,0.004711499857727915,0.15189661367941823,25.393457736481317,0.004677193858109484
60,2018-06-05,2018-12-28,340,465,-0.27334485684643883,1,0.7320171454076025,0.2636967424049026,-4.4566812500897015,0.000235287513176105,0.4302275537996687,42.4857855197135,0.02037705883684904
61,2015-10-02,2016-11-29,199,318,0.20871961216225168,1,0.7958403738935779,0.3217669483774114,-3.5537013140413656,0.006710405459109618,0.23892229142611793,26.30044076610174,0.01353983222333158
62,2016-12-07,2017-02-08,160,277,0.1297663530720943,-1,0.7867270684580081,0.24569378453438007,-4.051420701861561,0.0011639440795451607,0.36915440388543375,37.16277978438973,0.021409335186858072
63,2017-02-10,2017-08-18,269,410,0.1588448650986573,-1,0.8360922879529195,0.41579210151472124,-3.7656154634462164,0.003279369410367292,0.2690948673655547,27.992454949165783,0.01219755150208342
64,2017-09-01,2017-09-14,347,318,0.27115374236106987,-1,0.8882933505491734,0.2586271634917898,-3.5810575894355474,0.006133664844490282,0.06707447892345961,34.82322405078691,0.00501737526768117
65,2017-10-25,2018-03-02,276,297,0.27965990861147005,-1,0.8364776847873583,0.31583454416236795,-3.546888930701462,0.006861449742358194,0.1075771443680759,19.018138794366287,0.006466247584176216
66,2018-03-15,2018-05-03,152,35,0.13812594439191386,-1,0.7576321787362541,0.2789206476723366,-3.905403800814818,0.0019954360781763523,0.3280196874232127,32.941560507409875,0.014099153480549043
67,2018-06-15,2018-07-05,297,258,0.20329718588165369,1,0.8605147643283975,0.20186496379470603,-3.7526430323416324,0.003430750215875679,0.1410487253410987,28.71893165508175,0.004956418830713824
68,2018-07-13,2018-08-16,361,351,0.12476576484493672,-1,0.70600299114657,0.3225317669351643,-4.402833616946058,0.00029342380386141766,0.35470859939138205,32.50354898019473,0.02522916568495521
69,2018-10-29,2018-12-28,369,93,-0.08179780210179624,-1,0.7110313167151648,0.36558502164975076,-3.533573967798307,0.007165565939952456,0.28884795549172504,19.845499233117472,0.01584452169166094
70,2015-10-13,2017-05-22,297,416,0.3996095227594164,1,0.8597341158049912,0.29353452685213466,-3.7189607394741473,0.0038542224871546582,0.12975195658361718,30.171044198333004,0.01091719414486128
71,2017-07-31,2017-08-28,454,155,0.14652661713824877,-1,0.7575226274137637,0.31053760263268626,-4.700326114038898,8.403415277317797e-05,0.24111206195372117,35.95297357460567,0.009529208400719379
72,2017-09-01,2018-01-03,33,351,0.16436002780655776,1,0.7514217647152271,0.3882734855519444,-3.482122743486532,0.008458266740665727,0.40266306290428183,16.415715796815192,0.02055254327783297
73,2018-02-28,2018-12-28,242,181,-1.6068448369531363,1,0.841717413236365,0.30837177751274303,-3.5791956052153275,0.006171448139598949,0.14806198189678163,26.142630367081047,0.005642891361376985
74,2015-10-13,2015-10-28,171,435,0.23265423711871924,-1,0.8583487353504753,0.3090846501037504,-4.167045886016432,0.0007488386047650081,0.23195892437038731,28.383211526260148,0.028516818721408838
75,2015-10-29,2015-11-10,92,52,0.0666596255390629,-1,0.7700823182271339,0.29580257009692257,-3.763478866936549,0.003303872670725024,0.5306727044171159,30.12280474048034,0.012714257528478686
76,2015-11-11,2016-01-20,244,247,0.5871406837493732,-1,0.7260090117088671,0.36932373793285417,-11.032079744657898,5.635206932199986e-20,0.08493326990319112,62.48302863546356,0.040324834558861856
77,2016-01-21,2016-02-05,160,166,0.22764961932165287,1,0.7788514852638334,0.2583173737051551,-3.504864069303279,0.007863049655784023,0.3038057117225136,29.213840081359738,0.019536650396394743
78,2016-02-08,2016-12-02,70,137,0.142651426368983,-1,0.7099547510366689,0.26964602440940716,-3.5896328640980455,0.005962346371501567,0.3343416226269441,28.733318676331344,0.022196365079868878
79,2016-12-09,2017-02-14,452,269,0.1891967859453652,-1,0.821710890964129,0.4069323731072157,-3.476216734895849,0.008619324605600715,0.21639815429903148,20.902240719343492,0.013918477758040816
80,2017-02-16,2017-06-21,63,24,0.43681299548867153,1,0.8399973170373972,0.47127350553701247,-3.486143427868148,0.00835017356027229,0.27305585224340834,17.409666512977253,0.05388114347799302
81,2017-10-26,2018-03-23,276,410,0.17749861390267777,-1,0.8730974561435643,0.3119801159107619,-3.48876956013231,0.008280243537885368,0.13876585428271473,26.66386856323356,0.005330643566717802
82,2018-06-19,2018-07-12,12,351,0.16131406699243003,1,0.8068960694897199,0.24792363146157428,-3.4670240687223313,0.00887549074687727,0.3904448016600489,23.01188883486908,0.018981082247412916
83,2018-07-25,2018-12-28,12,24,-0.10751662019103318,-1,0.9257843702516432,0.22147421426521027,-3.8380397719311214,0.002541237126796726,0.1954592155175097,33.259606257006745,0.007908220248473421
84,2015-10-14,2015-10-27,120,80,0.11427533947290404,1,0.7102196757490246,0.2618816035774423,-4.756778622218591,6.574290011481555e-05,0.373070473105807,40.929632568745255,0.02241493532708545
