Stock,Code
RSG UN Equity,RSG
EBAY UW Equity,EBAY
GS UN Equity,GS
SRE UN Equity,SRE
ON UW Equity,ON
BKNG UW Equity,BKNG
FFIV UW Equity,FFIV
AKAM UW Equity,AKAM
MKTX UW Equity,MKTX
DVN UN Equity,DVN
GOOGL UW Equity,GOOGL
TECH UW Equity,TECH
TFX UN Equity,TFX
NFLX UW Equity,NFLX
A UN Equity,A
ELV UN Equity,ELV
CME UW Equity,CME
JNPR UN Equity,JNPR
BLK UN Equity,BLK
DTE UN Equity,DTE
CE UN Equity,CE
NDAQ UW Equity,NDAQ
CRM UN Equity,CRM
HII UN Equity,HII
MET UN Equity,MET
EW UN Equity,EW
AMP UN Equity,AMP
ZBRA UW Equity,ZBRA
ZBH UN Equity,ZBH
CPT UN Equity,CPT
CBRE UN Equity,CBRE
MA UN Equity,MA
ICE UN Equity,ICE
FIS UN Equity,FIS
CMG UN Equity,CMG
LYV UN Equity,LYV
AIZ UN Equity,AIZ
NRG UN Equity,NRG
MNST UW Equity,MNST
RF UN Equity,RF
EXPE UW Equity,EXPE
CF UN Equity,CF
LDOS UN Equity,LDOS
FSLR UW Equity,FSLR
V UN Equity,V
MAA UN Equity,MAA
XYL UN Equity,XYL
MPC UN Equity,MPC
RMD UN Equity,RMD
MTD UN Equity,MTD
CPRT UW Equity,CPRT
ALB UN Equity,ALB
FTNT UW Equity,FTNT
ESS UN Equity,ESS
CSGP UW Equity,CSGP
O UN Equity,O
WAB UN Equity,WAB
POOL UW Equity,POOL
CHD UN Equity,CHD
FRT UN Equity,FRT
MGM UN Equity,MGM
JBHT UW Equity,JBHT
MHK UN Equity,MHK
PNR UN Equity,PNR
VRTX UW Equity,VRTX
URI UN Equity,URI
ARE UN Equity,ARE
CNC UN Equity,CNC
MLM UN Equity,MLM
ACGL UW Equity,ACGL
EG UN Equity,EG
GPN UN Equity,GPN
APTV UN Equity,APTV
ALGN UW Equity,ALGN
TRGP UN Equity,TRGP
LKQ UW Equity,LKQ
EQIX UW Equity,EQIX
DLR UN Equity,DLR
MOH UN Equity,MOH
LVS UN Equity,LVS
