,Date,LYB,AXP,VZ,AVGO,BA,CAT,JPM,CVX,KO,ABBV,DIS,FLT,EXR,XOM,PSX,GE,HPQ,HD,MPWR,IBM,JNJ,LULU,MCD,MRK,MMM,AWK,BAC,PFE,PG,T,TRV,RTX,ADI,WMT,CSCO,INTC,GM,MSFT,DG,CI,KMI,C,AIG,MO,HCA,IP,HPE,ABT,AFL,APD,RCL,HES,ADM,ADP,VRSK,AZO,LIN,AVY,ENPH,MSCI,BALL,AXON,DAY,CARR,BK,OTIS,BAX,BDX,BRK-B,BBY,BSX,BMY,BF-B,CTRA,CPB,HLT,CCL,QRVO,BLDR,UDR,CLX,PAYC,CMS,CL,EPAM,CMA,CAG,ABNB,ED,GLW,CMI,CZR,DHR,TGT,DE,D,DOV,LNT,STLD,DUK,REG,ETN,ECL,RVTY,EMR,EOG,AON,ETR,EFX,EQT,IQV,IT,FDX,FMC,BRO,F,NEE,BEN,GRMN,FCX,DXCM,GD,GIS,GPC,ATO,GWW,HAL,DOC,LHX,PODD,CTLT,FTV,HSY,SYF,HRL,AJG,MDLZ,CNP,HUM,WTW,ITW,CDW,TT,IPG,IFF,GNRC,NXPI,K,BR,KMB,KIM,ORCL,KR,LEN,LLY,BBWI,CHTR,L,LOW,HUBB,IEX,MMC,MAS,SPGI,MDT,VTRS,CVS,DD,MU,MSI,CBOE,LH,NEM,NKE,NI,NSC,PFG,ES,NOC,WFC,NUE,OXY,OMC,OKE,RJF,PCG,PH,ROL,PPL,COP,PHM,PNW,PNC,PPG,PGR,VLTO,PEG,RHI,COO,EIX,SLB,SCHW,SHW,WST,SJM,SNA,AME,UBER,SO,TFC,LUV,WRB,SWK,PSA,ANET,SYY,CTVA,TXN,TXT,TMO,TJX,GL,JCI,ULTA,UNP,KEYS,UNH,BX,MRO,BIO,VTR,VFC,VMC,WY,WHR,WMB,CEG,WEC,ADBE,AES,EXPD,AMGN,AAPL,ADSK,CTAS,CMCSA,TAP,KLAC,MAR,FI,MKC,PCAR,COST,SYK,TSN,LW,AMAT,AAL,CAH,CINF,PARA,DHI,EA,FICO,FAST,MTB,XEL,FITB,GILD,HAS,HBAN,WELL,BIIB,NTRS,PKG,PAYX,QCOM,ROST,IDXX,SBUX,KEY,FOXA,FOX,STT,NCLH,USB,AOS,GEN,TROW,WM,STZ,XRAY,ZION,IVZ,INTU,MS,MCHP,CB,HOLX,CFG,JBL,ORLY,ALL,EQR,BWA,KDP,HST,INCY,SPG,EMN,AVB,PRU,UPS,WBA,STE,MCK,LMT,COR,COF,WAT,NDSN,DLTR,DRI,EVRG,MTCH,DPZ,NVR,NTAP,ODFL,DVA,HIG,IRM,EL,CDNS,TYL,UHS,SWKS,DGX,ROK,KHC,AMT,REGN,AMZN,JKHY,RL,BXP,APH,HWM,PXD,VLO,SNPS,ETSY,CHRW,ACN,TDG,YUM,PLD,FE,VRSN,PWR,HSIC,AEE,ANSS,FDS,NVDA,CTSH,ISRG,TTWO,RSG,EBAY,GS,SBAC,SRE,MCO,ON,BKNG,FFIV,AKAM,CRL,MKTX,DVN,GOOGL,TECH,TFX,ALLE,NFLX,WBD,A,TRMB,ELV,CME,JNPR,BLK,DTE,CE,NDAQ,PM,IR,CRM,ROP,HII,MET,TPR,CSX,EW,AMP,ZBRA,ZBH,CPT,CBRE,MA,KMX,ICE,FIS,CMG,WYNN,LYV,AIZ,NRG,MNST,RF,BKR,MOS,EXPE,CF,APA,LDOS,GOOG,FSLR,TEL,DFS,V,MAA,XYL,MPC,TSCO,AMD,RMD,MTD,VICI,CPRT,J,ALB,FTNT,MRNA,ESS,CSGP,O,WRK,WAB,POOL,WDC,PEP,FANG,PANW,NOW,CHD,FRT,MGM,AEP,INVH,PTC,JBHT,LRCX,MHK,GEHC,PNR,VRTX,AMCR,META,TMUS,URI,ARE,HON,DAL,UAL,STX,NWS,CNC,MLM,TER,PYPL,TSLA,ACGL,DOW,EG,TDY,NWSA,EXC,GPN,CCI,APTV,ALGN,ILMN,KVUE,TRGP,BG,LKQ,ZTS,EQIX,DLR,MOH,LVS
133,2014-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,2014-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,2014-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2014-10-31,,,,,,,,,,,,,,,,,0.3561,,,,,,,,,,,,,,,,,1.725,,,,,1.9728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7124,,,,,,,,,,,,,,,,,,,,,,0.5125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9839,,,,,,3.0203,,,,,,,,,,,,,,,,,,,,,0.5133,,,,,,,,,,,,,,,,,,-2.2224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7181,,,,,,,,,,,,,,,,,,,,,,,,,,2.6847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7806,,,,,,,,,,,0.2605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2931,,,,,,,,,,,,,,-4.7299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2014-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9734,,,,,,,,,,,,,,,,,,,,,,,,3.2455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2878,,,-1.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2014-11-02,,,,3.3234,,,,,,,,,,,,,,1.8427,,,,-1.8083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2014-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2014-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2014-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2014-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2014-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8038,,,,,,,,,,,,,,,,,,,,,,-0.948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6978,,,,,,2.3979,,,,,,,,,,,,,,,,,,,,,,,,,-0.5975,,,,,,,,,,,,,,,7.6557,,,,,,,,,,1.3245,,,,,,,,,,,,,0.3484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0647,,,,,,,,,,-0.5034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0474,,,,,,,,,,,,,
144,2014-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2014-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6267,,,,,,,,,,,,,,,,,,,,,,,,,,1.6834,,,,,,,,,,,,0.1514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2014-12-27,,,,,,,,,,,1.1001,,,,,,,,,,,,,,,,,,,,,,,,,-0.3671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.3024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.761,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0003,,,,,,,,,,,,4.3867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7049,,,,,,,,,,10.5155,2.2728,,,,,1.0836,,,,,,,,,,,,,,,,,,2.429,,,,,,,,,,,,,,,,,,,,,,,,-1.0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1123,,,,,,,,,,,,,,,,,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2014-12-28,,,,,,,,,,,,,,,,,,,,,-0.7658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0229,,,,,,,-3.7312,,,0.0277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6116,,,,,,,,,,,,,,,,,,,,,,,1.9398,,,,,,,-0.0944,,,,,,,,,
148,2014-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2014-12-31,0.731,3.5621,3.3338,,-0.4541,0.4626,-3.798,0.4642,1.8907,1.8605,,5.1233,6.8194,0.5432,0.9714,0.0124,,,-3.2201,1.4523,,,1.9104,0.7115,0.5222,5.3929,3.6342,0.0328,1.4157,2.3368,1.19,1.9776,,,,,-1.5756,-1.9173,,0.8879,5.0797,4.0086,5.8836,2.4388,6.4883,2.4348,,0.917,0.0953,2.7498,4.7339,0.7992,0.7204,-1.017,2.8479,,,,-1.7353,0.9146,2.9422,-2.2882,,,-18.1597,,1.9844,0.5554,-5.048,,2.8818,-1.2741,,1.4,,8.5191,,,12.9899,8.9354,2.2218,0.0821,5.736,1.534,-2.1028,-5.2817,,,4.3123,-0.5957,-0.3124,,0.1245,,,7.4548,2.4074,4.32,4.3117,6.126,6.8682,4.2641,3.4912,,1.0221,0.442,2.6567,3.2415,2.2684,1.3583,3.3027,0.1145,,4.16,1.8629,-0.4878,5.1722,-2.4252,,3.2865,-3.3475,-0.1291,,0.7945,3.9315,0.2677,1.3695,7.6384,,2.0706,13.3774,,2.0202,1.8746,,4.4677,4.2181,5.8482,-3.3214,3.4843,2.1219,6.5414,2.5886,0.0893,0.8946,3.5506,1.9169,,0.5718,2.1677,7.0052,,,,0.7165,,8.8529,3.4462,,-0.167,0.9518,0.6706,2.8887,-1.4114,,6.3308,1.275,,,,-0.5632,3.315,2.8999,,5.9158,2.7485,0.2241,5.8969,0.7964,-1.7422,2.5767,0.2755,1.5013,6.2564,-1.3141,4.1285,0.7252,-0.5582,5.1046,1.0564,2.163,3.2101,3.362,1.8527,1.1916,,2.6741,-0.8389,,3.6572,0.5196,-3.1772,1.6254,0.4385,,,1.8409,,4.1386,7.696,-0.1021,2.5682,,-0.0769,-3.5438,,,0.2801,,5.0437,,1.3467,,,1.3397,,1.0148,4.6086,0.7226,-0.9839,8.5979,,7.0631,3.5129,2.2454,10.0908,,4.296,,9.6104,-2.4494,0.4312,,,,2.5802,1.9766,1.6515,3.0041,2.6748,,-1.3831,,-0.5763,,,,3.3821,0.4294,0.3207,5.2424,,-2.0061,3.3971,-0.0491,1.2333,4.8129,2.7274,0.0529,,6.1296,9.0482,-0.9288,-31.5549,3.0628,,,,2.4442,,6.2273,,,,9.4323,9.6585,-1.2049,,-1.1207,3.4869,,1.981,-21.0042,0.0521,,81.1786,0.3179,1.2373,,8.2914,,0.9558,1.3854,4.6207,0.6762,2.3033,2.8711,2.8528,7.413,5.2244,6.7448,0.9362,1.3091,,2.0036,1.4917,1.2147,-0.0899,4.4298,-1.1584,,,,,-0.1676,,0.2938,,0.3087,4.876,3.0276,9.4947,0.0098,,-1.6702,3.1549,,3.7606,-0.4546,,6.6649,-1.1982,-0.194,0.0874,,11.7085,1.506,,0.5665,0.6359,,,1.9011,,,,12.755,7.9963,-0.1063,-0.3512,,4.4179,-2.0471,,,-1.4509,-1.8531,-16.8752,4.5666,-0.4353,,11.6517,6.367,0.8538,1.4002,-1.4361,-2.0238,-1.5552,,-2.1263,1.6246,-2.6438,0.0769,2.6701,3.8066,-42.0462,5.1153,,,-1.9298,0.5166,-0.8124,0.8384,4.7951,1.9865,2.6835,3.5887,,,1.893,0.9497,0.7918,,,-0.8224,2.96,11.0565,-0.2556,6.1566,2.4422,-1.4326,,1.6017,3.927,-1.1067,4.5103,2.4574,-0.3747,11.9596,-1.9272,0.8121,,0.687,-0.0086,1.8429,1.3166,,-2.6438,-2.4168,,4.018,-1.0246,9.0458,1.4928,1.6424,,,-1.0533,0.8753,,,,0.9021,-3.6627,,10.1261,-1.0785,5.3181,2.3522,0.2018,2.5121,,,1.8051,,-1.6224,1.2282,6.8232,10.5145,4.2473,,,1.4341,,3.2552,,2.7353,,,-2.0095,4.6228,4.3331,6.0948,-0.0838,1.2848,2.8432,,-1.6449,-0.7424,3.927,-2.6437,-0.5261,,0.3909,,0.1529,,-1.6449,4.4797,,4.9264,0.734,-2.6556,,,3.6813,3.4582,4.4546,4.3914,5.082,7.0619,-1.576,1.3421
150,2015-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1161,,,,,,,,,,,,,,,,,,,,,,,,,0.2055,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2015-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9764,,,,,,,2.5856,,,,,,1.7219,,,,,,,,,,,,,0.2655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
